공개번호,제목,쟁점_분야,관련_기준서,결정년도,beneish_score,tier,결정일,회계결산일,extract_status,full_text,s1_text,s2_text,s3_text,s4_text,s5_text,violation_type,scheme_type,beneish_components,forensic_signals,key_issue,fss_ruling,implications,enrichment_status
FSS/2008-09,공사수익 과대계상,공사수익 과대계상,舊 기업회계기준서 제1011호,2016,3,3,,,,,,,,,,revenue_fabrication,revenue_fabrication,"SGI,GMI,TATA","abnormal accruals,discretionary accruals,earnings smoothing,real earnings management,management override,internal control weakness",,,,metadata_only
FSS/2008-08,공사수익·원가 등 과대·과소계상,공사수익 및 공사원가,"기업회계기준서 제1011호, 제1039호",2016,3,3,,,,,,,,,,revenue_fabrication,earnings_manipulation,"DSRI,GMI,SGI,TATA","abnormal accruals,discretionary accruals,earnings smoothing,real earnings management,audit quality,management override",,,,metadata_only
FSS/2008-07,공사수익 및 공사원가 인식 오류,건설계약,"기업회계기준서 제1001호, 제1011호",2016,3,3,,,,,,,,,,revenue_fabrication,earnings_manipulation,"SGI,GMI,TATA","real earnings management,discretionary accruals,abnormal accruals,earnings smoothing,audit quality,management override",,,,metadata_only
FSS/2008-06,공사수익 및 공사원가 인식 오류,매출/매출원가,기업회계기준서 제1011호,2017,8,1,,,failed,,,,,,,cost_distortion,earnings_manipulation,"GMI,TATA","abnormal accruals,discretionary accruals,real earnings management,management override,audit quality",,,,metadata_only
FSS/2008-05,공사 관련 매출 및 매출원가 과소계상,매출 및 매출원가,기업회계기준서 제1101호,2017,6,2,,,failed,,,,,,,revenue_fabrication,earnings_manipulation,"SGI,GMI,TATA","abnormal accruals,discretionary accruals,real earnings management,earnings smoothing,audit quality,internal control weakness",,,,metadata_only
FSS/2008-04,매출채권 및 차입금 과소계상,매출채권,기업회계기준서 제1002호,2017,8,1,,,failed,,,,,,,revenue_fabrication,earnings_manipulation,"DSRI,TATA","discretionary accruals,abnormal accruals,DSRI,audit quality,internal control weakness",,,,metadata_only
FSS/2008-03,매출 및 매출원가 기간귀속 오류,매출·매출채권,기업회계기준서 제1018호,2017,8,1,,,failed,,,,,,,revenue_fabrication,earnings_manipulation,"SGI,GMI,DSRI,TATA","abnormal accruals,discretionary accruals,earnings smoothing,real earnings management,audit quality,management override,professional skepticism",,,,metadata_only
FSS/2008-02,매출 과대 및 매출원가 과소계상,총 예정원가 과소계상,기업회계기준서 제1011호,2017,3,3,,,,,,,,,,revenue_fabrication,earnings_manipulation,"SGI,GMI,TATA","abnormal accruals,discretionary accruals,earnings smoothing,real earnings management,management override,audit quality",,,,metadata_only
FSS/BATCH-7,A-6[차입금 등 부채누락],,,,0,3,,,,,,,,,,,,,,,,,
FSS/2008-01,매출액 및 매출원가 과대계상 등,매출 및 매출원가,기업회계기준서 제1018호,2016,8,1,,,failed,,,,,,,revenue_fabrication,earnings_manipulation,"DSRI,GMI,SGI,TATA","Beneish M-Score,DSRI,GMI,SGI,abnormal accruals,discretionary accruals,earnings smoothing,real earnings management,round-trip transactions,audit quality,management override,fraudulent financial reporting",,,,metadata_only
FSS/1912-29,매각예정비유동자산의 계정분류 오류,매각예정비유동자산의 계정분류,기업회계기준서 제1105호,2019,2,3,,,,,,,,,,asset_inflation,earnings_manipulation,"AQI,TATA","abnormal accruals,audit quality,internal control weakness,management override",,,,metadata_only
FSS/1912-28,영업활동현금흐름 과소 및 과대계상,영업활동현금흐름,기업회계기준서 제1007호,2019,2,3,,,,,,,,,,disclosure_fraud,earnings_manipulation,TATA,"timing_anomaly,discretionary accruals,restatement risk",,,,metadata_only
FSS/1912-27,전환사채 유동성 분류,전환사채,기업회계기준서 제1001호,2019,2,3,,,,,,,,,,disclosure_fraud,cb_bw_manipulation,"LVGI,TATA","disclosure_fraud,timing_anomaly,management override,audit quality",,,,metadata_only
FSS/1912-26,전환사채 등 유동성 분류 오류,유동성 분류,기업회계기준서 제1001호,2019,2,3,,,,,,,,,,disclosure_fraud,timing_anomaly,LVGI,"disclosure_fraud,management override,internal control weakness,audit quality",,,,metadata_only
FSS/1912-25,연결범위 오류,연결범위,"기업회계기준서 제1011호, 舊 기업회계기준서 제1027호, 1031호",2018,4,2,,,failed,,,,,,,related_party,earnings_manipulation,TATA,"discretionary accruals,related-party transactions,management override,internal control weakness,audit quality",,,,metadata_only
FSS/1912-24,매출채권 과대 및 재고자산 과소계상 등,수익 인식,舊기업회계기준서 제1018호,2018,4,2,,,failed,,,,,,,revenue_fabrication,earnings_manipulation,"DSRI,SGI,TATA","abnormal accruals,discretionary accruals,earnings smoothing,audit quality,internal control weakness,management override,real earnings management",,,,metadata_only
FSS/1912-23,자금대여를 통한 허위 매출계상,허위매출계상,"기업회계기준서 제1018호, 재무보고를 위한 개념체계",2018,9,1,,,failed,,,,,,,revenue_fabrication,revenue_fabrication,"DSRI,SGI,TATA","channel stuffing,round-trip transactions,earnings_smoothing,discretionary accruals,management override,fraudulent financial reporting,internal control weakness",,,,metadata_only
FSS/1912-22,수익인식 오류,수익인식 시기 변경,일반기업회계기준 제16장,2019,7,1,,,failed,,,,,,,revenue_fabrication,earnings_manipulation,"DSRI,SGI,TATA","earnings_smoothing,discretionary accruals,timing_anomaly,abnormal accruals",,,,metadata_only
FSS/1912-21,특수관계자 거래 주석 기재 누락,특수관계자 거래,기업회계기준서 제1024호,2018,2,3,,,,,,,,,,disclosure_fraud,disclosure_fraud,,"disclosure_fraud,related-party transactions,management override",,,,metadata_only
FSS/BATCH-6,A-5[기타의 자산 과대계상],,,,0,3,,,,,,,,,,,,,,,,,
FSS/1912-20,담보제공 자산 주석 미기재,주석 미기재,"기업회계기준서 제1016호, 제1107호",2019,2,3,,,,,,,,,,disclosure_fraud,disclosure_fraud,,"disclosure_fraud,audit quality,internal control weakness",,,,metadata_only
FSS/1912-19,매각예정자산 손상차손 과소계상,매각예정자산 손상차손,"기업회계기준서 제1105호, 제1113호",2018,5,2,,,failed,,,,,,,asset_inflation,asset_inflation,AQI,"abnormal accruals,audit quality,internal control weakness,management override",,,,metadata_only
FSS/1912-18,이연법인세자산(이월결손금)과대계상,이연법인세 자산성,기업회계기준서 제1012호,2018,2,3,,,,,,,,,,asset_inflation,earnings_manipulation,"AQI,TATA","abnormal accruals,discretionary accruals,management override,audit quality",,,,metadata_only
FSS/1912-17,선급금 과대계상,선급금,재무회계개념체계,2018,5,2,,,failed,,,,,,,asset_inflation,earnings_manipulation,"AQI,TATA","abnormal accruals,discretionary accruals,management override,audit quality",,,,metadata_only
FSS/1912-16,매도가능증권 과대계상,매도가능증권,기업회계기준서 제1039호,2018,2,3,,,,,,,,,,asset_inflation,earnings_manipulation,"AQI,TATA","abnormal accruals,discretionary accruals,audit quality,management override",,,,metadata_only
FSS/1912-15,종속기업의 전환우선주 발행관련 오류,종속기업의 전환우선주 발행관련 오류,"기업회계기준서 제1032호, 제1001호",2019,3,3,,,,,,,,,,disclosure_fraud,cb_bw_manipulation,"LVGI,TATA","disclosure_fraud,management override,internal control weakness,audit quality",,,,metadata_only
FSS/1912-14,개발비 손상차손 미인식,개발비 손상,"기업회계기준서 제1038호, 제1036호",2019,6,2,,,failed,,,,,,,asset_inflation,asset_inflation,"AQI,TATA","abnormal accruals,audit quality,internal control weakness,management override",,,,metadata_only
FSS/1912-13,개발비 과대계상 등,무형자산(개발비) 인식요건,"舊 기업회계기준서 제3호, 기업회계기준서 제1038호",2018,6,2,,,failed,,,,,,,asset_inflation,asset_inflation,"AQI,TATA","abnormal accruals,discretionary accruals,AQI,audit quality,management override,internal control weakness",,,,metadata_only
FSS/1912-12,무형자산(개발비) 과대계상,무형자산,기업회계기준서 제1038호,2018,6,2,,,failed,,,,,,,asset_inflation,asset_inflation,"AQI,TATA","abnormal accruals,discretionary accruals,management override,audit quality,internal control weakness",,,,metadata_only
FSS/1912-11,무형자산 과대계상,무형자산,기업회계기준서 제1038호,2019,6,2,,,failed,,,,,,,asset_inflation,asset_inflation,AQI,"abnormal accruals,audit quality,management override,professional skepticism",,,,metadata_only
FSS/BATCH-5,A-4[개발비 과대계상],,,,0,3,,,,,,,,,,,,,,,,,
FSS/1912-10,종속회사 매출채권에 대한 대손충당금 과소계상,매출채권 대손충당금,기업회계기준서 제1039호,2019,7,1,,,failed,,,,,,,asset_inflation,earnings_manipulation,DSRI,"discretionary accruals,audit quality,management override,abnormal accruals",,,,metadata_only
FSS/1912-9,미수금 및 재고자산에 대한 충당금 미계상 등,충당금 인식,"기업회계기준서 제1002호, 舊 기업회계기준서 제1039호",2019,4,2,,,failed,,,,,,,asset_inflation,earnings_manipulation,"DSRI,AQI,TATA","discretionary accruals,abnormal accruals,management override,audit quality,internal control weakness",,,,metadata_only
FSS/1912-8,대여금에 대한 대손충당금 과소계상,소송채권,기업회계기준서 제1039호,2018,2,3,,,,,,,,,,liability_suppression,earnings_manipulation,"DSRI,TATA","discretionary accruals,management override,audit quality,abnormal accruals",,,,metadata_only
FSS/1912-7,지분법투자손실 과소계상,지분법 회계처리,기업회계기준서 제1028호,2019,2,3,,,,,,,,,,asset_inflation,earnings_manipulation,"AQI,TATA","discretionary accruals,abnormal accruals,management override,audit quality",,,,metadata_only
FSS/1912-6,종속기업투자주식 과대계상,종속기업투자주식 손상차손,기업회계기준서 제1036호,2018,6,2,,,failed,,,,,,,asset_inflation,asset_inflation,AQI,"abnormal accruals,audit quality,internal control weakness",,,,metadata_only
FSS/1912-5,종속기업투자주식 과대계상,종속기업투자주식,기업회계기준서 제1036호,2018,4,2,,,failed,,,,,,,asset_inflation,asset_inflation,AQI,"abnormal accruals,audit quality,internal control weakness,professional skepticism",,,,metadata_only
FSS/1912-4,관계기업투자주식 과대계상,관계기업투자주식,"기업회계기준서 제1001호, 제1028호",2018,3,3,,,,,,,,,,asset_inflation,earnings_manipulation,"AQI,TATA","abnormal accruals,discretionary accruals,management override,audit quality,internal control weakness",,,,metadata_only
FSS/1912-3,재고자산 과대계상,재고자산,기업회계기준서 제1002호,2019,8,1,,,failed,,,,,,,asset_inflation,earnings_manipulation,"AQI,TATA","abnormal accruals,discretionary accruals,audit quality,management override",,,,metadata_only
FSS/1912-2,재고자산평가충당금 과소계상,재고자산평가충당금,기업회계기준서 제1002호,2019,8,1,,,failed,,,,,,,asset_inflation,earnings_manipulation,"AQI,TATA","discretionary accruals,abnormal accruals,management override,audit quality",,,,metadata_only
FSS/1912-1,재고자산평가손실 과소계상,재고자산평가손실,기업회계기준서 제1002호,2018,8,1,,,failed,,,,,,,asset_inflation,earnings_manipulation,AQI,"discretionary accruals,management override,abnormal accruals",,,,metadata_only
FSS/BATCH-4,A-3[고정자산 과대계상],,,,0,3,,,,,,,,,,,,,,,,,
FSS/BATCH-39,2018년도~2019년도 주요 감리지적 사례 및 유의사항,,,,0,3,,,,,,,,,,,,,,,,,
FSS/BATCH-38,2018년 주요 감리지적사례,,,,0,3,,,,,,,,,,,,,,,,,
FSS/BATCH-37,2017년 주요 감리지적사례,,,,0,3,,,,,,,,,,,,,,,,,
FSS/BATCH-36,2016년 주요 감리지적사례,,,,0,3,,,,,,,,,,,,,,,,,
FSS/BATCH-35,2015년 주요 감리지적사례,,,,0,3,,,,,,,,,,,,,,,,,
FSS/BATCH-34,2014년 감리지적사례,,,,0,3,,,,,,,,,,,,,,,,,
FSS/BATCH-33,감리지적사례(2014-1),,,,0,3,,,,,,,,,,,,,,,,,
FSS/BATCH-32,감리지적사례(2013-1),,,,0,3,,,,,,,,,,,,,,,,,
FSS/BATCH-31,2013년 감리지적사례,,,,0,3,,,,,,,,,,,,,,,,,
FSS/BATCH-30,2012년 감리지적사례,,,,0,3,,,,,,,,,,,,,,,,,
FSS/BATCH-3,"A-2[재고자산, 매출원가 과대(소) 계상]",,,,0,3,,,,,,,,,,,,,,,,,
FSS/BATCH-29,2011년 감리지적사례,,,,0,3,,,,,,,,,,,,,,,,,
FSS/BATCH-28,2010년 감리지적사례,,,,0,3,,,,,,,,,,,,,,,,,
FSS/BATCH-27,2009년 감리지적사례,,,,0,3,,,,,,,,,,,,,,,,,
FSS/BATCH-26,연결감리 지적사례,,,,0,3,,,,,,,,,,,,,,,,,
FSS/BATCH-25,독립성 위반사항,,,,0,3,,,,,,,,,,,,,,,,,
FSS/BATCH-24,E 유형[기타 외부감사 방해 등 관련법규위반사항 관련],,,,0,3,,,,,,,,,,,,,,,,,
FSS/BATCH-23,D 유형[계정분류 오류],,,,0,3,,,,,,,,,,,,,,,,,
FSS/2512-10,금융자산·부채 과대계상,금융자산·부채,기업회계기준서 제1109호,2025,5,2,,2019.1.1,ok,"FSS/2512-10 : 금융자산·부채 과대계상
▣ 쟁점 분야: 금융자산·부채
▣ 관련 기준: 기업회계기준서 제1109호(금융상품)
▣ 결정일 : 2025년
▣ 회계결산일: 2019.1.1.~2019.12.31.
1. 회사의 회계처리
A사(이하 ‘회사’)는 B사를 대상으로 x1년 전환사채(이하 ‘CB’)를 발행하였는데, 회사가
반기 의견거절을 받아 B사로부터 CB 상환요청을 받게 되었다. 회사는 CB를 상환하지
않으면 기말 감사의견도 의견거절을 받을 상황이었고, CB 인수자인 B사는 역시 상장
기업으로 기한이익 상실한 해당 CB를 상환받지 못할 경우 의견거절을 받을 수 있는
상황이었다. 회사는 상환 자금이 부족한 상황에서 의견거절을 피하고자, B사와 합의서를
작성하여 비외감 종속회사인 C사가 현금 지급 없이 해당 CB를 인수토록 하고, C사는
허위 신주인수권부사채(이하 ‘BW’)를 명목상 인수인에게 발행하여 B사에 인수대가에
대한 담보로 제공하기로 한다. 명목상 인수인은 회사의 임직원으로, C사와 별도의
이면 약정을 맺어 대금 납부에 대한 계획이나 책임을 지지 않았다.
회사의 종속회사인 C사는 상법상 납입이 완료되지 않으면 채권을 발행할 수 없음에도,
x1년 12월말 납입대금 없이 BW를 발행하여 등기하였고, 이를 B사에 담보로 제공한 후,
CB 실물을 전달받아 C사가 CB를 취득한 것으로 처리하였다. 결과적으로 x1년말 기준
으로 C사의 재무제표에는 회사 발행 CB가 자산으로, C사 발행 BW가 부채로 계상
되었고, 회사의 연결재무제표에는 내부거래 제거를 통해 CB가 상환된 것으로 표시
되었다. 또한 BW는 부채로, BW 발행대금은 미수금(임직원에 대한 받을 수 없는
BW 인수대금)으로 계상되었다.
2. 회계기준 위반 지적 내용
회사는 회사가 발행한 CB를 인수자(B사, 상장사)로부터 재취득(상환)한 것처럼 보이도록
하기 위하여, 회사의 종속기업(C사)이 BW를 발행하여 CB 보유자(B)에 이를 담보로
제공한 후 CB를 인수하도록 하였다. 이 과정에서 BW 인수대금이 납입되지 않았음에도
사채가 발행된 것으로 회계처리 하여 종속회사의 자산(미수금) 및 부채(BW)를 과대
계상하였다.
3. 지적 근거 및 판단 내용
기업회계기준서 제1109호(금융상품)에 문단 3.1.1 및 B.3.1.2.(5)에 따르면 금융자산이나
금융부채는 금융상품의 계약 당사자가 되는 때에만 재무상태표에 인식하여야 하고,
예정된 미래 거래는 그 발생 가능성에 관계없이 자산도 아니고 부채도 아니며, 그
이유는 기업이 현재 계약의 당사자가 된 것이 아니기 때문이라고 규정한다. C사가 발행
하였다고 주장하는 BW는 인수대금이 납입된 바 없고, 납입될 가능성도 없었던 부채로
금융상품 요건을 충족하지 못한다고 판단하였다.
4. 감사절차 미흡사항
감사인은 회사 종속회사의 BW 발행과 관련하여 전문가적 의구심을 갖고 BW 발행
사실을 확인하기 위하여 등기 서류를 요청하였으나, 회사가 등기소에 적법하지 않은
절차로 등기를 하고, 이를 감사인에게 제출한 점 등 회사의 위법행위를 발견하기
어려웠던 점 등을 고려하여 감사인에 대하여 지적하지 아니하였다.
5. 시사점
자금 회수가 어렵거나, 상환하여야 할 부채가 많은 기업의 경우 비경상적인 자금거
래에 대하여 면밀히 검토할 필요가 있다. 본 사례는 공개되지 않은 비외감 종속기
업을 통하여 마치 정상적인 거래를 한 것과 같은 외관을 갖추어 감사인에게 증빙을
제시한 사례로, 감사인은 외부 검증이 어려운 종속기업 등과의 거래가 중요한 경우
에는, 기본적인 증빙(자금 이체내역, 계약서) 외에도 구체적 거래 내역을 징구하여
실질 거래를 파악할 필요가 있다.","회사의 회계처리
A사(이하 ‘회사’)는 B사를 대상으로 x1년 전환사채(이하 ‘CB’)를 발행하였는데, 회사가
반기 의견거절을 받아 B사로부터 CB 상환요청을 받게 되었다. 회사는 CB를 상환하지
않으면 기말 감사의견도 의견거절을 받을 상황이었고, CB 인수자인 B사는 역시 상장
기업으로 기한이익 상실한 해당 CB를 상환받지 못할 경우 의견거절을 받을 수 있는
상황이었다. 회사는 상환 자금이 부족한 상황에서 의견거절을 피하고자, B사와 합의서를
작성하여 비외감 종속회사인 C사가 현금 지급 없이 해당 CB를 인수토록 하고, C사는
허위 신주인수권부사채(이하 ‘BW’)를 명목상 인수인에게 발행하여 B사에 인수대가에
대한 담보로 제공하기로 한다. 명목상 인수인은 회사의 임직원으로, C사와 별도의
이면 약정을 맺어 대금 납부에 대한 계획이나 책임을 지지 않았다.
회사의 종속회사인 C사는 상법상 납입이 완료되지 않으면 채권을 발행할 수 없음에도,
x1년 12월말 납입대금 없이 BW를 발행하여 등기하였고, 이를 B사에 담보로 제공한 후,
CB 실물을 전달받아 C사가 CB를 취득한 것으로 처리하였다. 결과적으로 x1년말 기준
으로 C사의 재무제표에는 회사 발행 CB가 자산으로, C사 발행 BW가 부채로 계상
되었고, 회사의 연결재무제표에는 내부거래 제거를 통해 CB가 상환된 것으로 표시
되었다. 또한 BW는 부채로, BW 발행대금은 미수금(임직원에 대한 받을 수 없는
BW 인수대금)으로 계상되었다.
2. 회계기준","위반 지적 내용
회사는 회사가 발행한 CB를 인수자(B사, 상장사)로부터 재취득(상환)한 것처럼 보이도록
하기 위하여, 회사의 종속기업(C사)이 BW를 발행하여 CB 보유자(B)에 이를 담보로
제공한 후 CB를 인수하도록 하였다. 이 과정에서 BW 인수대금이 납입되지 않았음에도
사채가 발행된 것으로 회계처리 하여 종속회사의 자산(미수금) 및 부채(BW)를 과대
계상하였다.
3. 지적 근거 및 판단 내용
기업회계기준서 제1109호(금융상품)에 문단 3.1.1 및 B.3.1.2.(5)에 따르면 금융자산이나
금융부채는 금융상품의 계약 당사자가 되는 때에만 재무상태표에 인식하여야 하고,
예정된 미래 거래는 그 발생 가능성에 관계없이 자산도 아니고 부채도 아니며, 그
이유는 기업이 현재 계약의 당사자가 된 것이 아니기 때문이라고 규정한다. C사가 발행
하였다고 주장하는 BW는 인수대금이 납입된 바 없고, 납입될 가능성도 없었던 부채로
금융상품 요건을 충족하지 못한다고 판단하였다.
4.",,"감사절차 미흡사항
감사인은 회사 종속회사의 BW 발행과 관련하여 전문가적 의구심을 갖고 BW 발행
사실을 확인하기 위하여 등기 서류를 요청하였으나, 회사가 등기소에 적법하지 않은
절차로 등기를 하고, 이를 감사인에게 제출한 점 등 회사의 위법행위를 발견하기
어려웠던 점 등을 고려하여 감사인에 대하여 지적하지 아니하였다.
5.","시사점
자금 회수가 어렵거나, 상환하여야 할 부채가 많은 기업의 경우 비경상적인 자금거
래에 대하여 면밀히 검토할 필요가 있다. 본 사례는 공개되지 않은 비외감 종속기
업을 통하여 마치 정상적인 거래를 한 것과 같은 외관을 갖추어 감사인에게 증빙을
제시한 사례로, 감사인은 외부 검증이 어려운 종속기업 등과의 거래가 중요한 경우
에는, 기본적인 증빙(자금 이체내역, 계약서) 외에도 구체적 거래 내역을 징구하여
실질 거래를 파악할 필요가 있다.",liability_suppression,cb_bw_manipulation,LVGI,"fraudulent financial reporting,related-party transactions,insider network,management override,internal control weakness,disclosure_fraud,round-trip transactions,timing_anomaly,audit quality,professional skepticism,control environment,fraud triangle,opportunity,rationalization,incentive","Company A orchestrated a fictitious CB repayment scheme by having its unaudited subsidiary C acquire the CB without actual cash payment, while issuing sham BWs to nominee holders (company insiders) under secret side agreements — creating the false appearance in the consolidated financial statements that the CB had been legitimately retired, while the underlying liability remained economically unextinguished.","The FSS found that the CB repayment was not substantiated by real economic substance, as no actual funds changed hands; the consolidated financial statements improperly eliminated the CB liability through fictitious intra-group transactions, and the BW issued by subsidiary C was legally invalid under the Commercial Act due to the absence of paid-in consideration.","This case illustrates how unaudited subsidiaries can be weaponized to fabricate the appearance of liability settlement and evade audit scrutiny; auditors must go beyond basic documentation (fund transfer records, contracts) and probe the substantive reality of material transactions involving non-public group entities, particularly where cash flows are absent or nominees are insiders with undisclosed side agreements.",ok
